Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2023-01-01T00:00,0.839,1.350,3.509,4.514,97.37,28.150
2023-01-01T00:30,0.856,1.720,3.516,4.596,95.37,28.100
2023-01-01T01:00,0.918,1.500,3.565,4.580,97.37,28.100
2023-01-01T01:30,0.848,1.390,3.417,3.602,95.37,28.050
2023-01-01T02:00,0.887,1.450,3.561,4.803,101.37,28.050
2023-01-01T02:30,0.875,1.520,3.489,4.574,106.37,28.050
2023-01-01T03:00,0.978,1.530,3.615,4.187,105.37,28.000
2023-01-01T03:30,0.987,1.830,3.776,4.136,104.37,28.000
2023-01-01T04:00,0.872,1.640,3.598,4.209,104.37,28.000
2023-01-01T04:30,0.959,1.620,3.663,4.215,99.37,28.000
2023-01-01T05:00,0.893,1.590,3.705,4.227,109.37,28.000
2023-01-01T05:30,0.900,1.670,3.682,4.300,102.37,28.000
2023-01-01T06:00,0.901,1.360,3.797,4.029,101.37,28.000
2023-01-01T06:30,0.887,1.610,3.861,4.973,94.37,27.950
2023-01-01T07:00,0.785,1.250,3.837,5.040,98.37,27.950
2023-01-01T07:30,0.684,1.170,3.689,4.580,99.37,27.950
2023-01-01T08:00,0.656,1.160,3.650,5.990,98.37,27.850
2023-01-01T08:30,0.643,1.130,3.715,4.813,90.37,27.800
2023-01-01T09:00,0.663,1.200,3.668,4.941,85.37,27.800
2023-01-01T09:30,0.648,1.250,3.916,5.975,88.37,27.800
2023-01-01T10:00,0.704,1.360,3.809,4.936,91.37,27.750
2023-01-01T10:30,0.657,1.170,3.718,5.203,94.37,27.800
2023-01-01T11:00,0.721,1.280,3.649,4.494,92.37,27.800
2023-01-01T11:30,0.745,1.370,3.676,5.560,97.37,27.850
2023-01-01T12:00,0.727,1.230,3.661,5.514,97.37,27.850
2023-01-01T12:30,0.741,1.370,3.747,5.198,94.37,27.850
2023-01-01T13:00,0.712,1.230,3.657,5.774,91.37,27.850
2023-01-01T13:30,0.665,1.000,3.720,5.800,94.37,27.900
2023-01-01T14:00,0.681,1.170,3.889,4.968,88.37,27.950
2023-01-01T14:30,0.677,1.120,3.841,5.358,91.37,27.950
2023-01-01T15:00,0.740,1.220,3.534,4.948,95.37,27.950
2023-01-01T15:30,0.823,1.350,3.464,3.363,98.37,27.950
2023-01-01T16:00,0.921,1.780,3.633,3.888,95.37,27.950
2023-01-01T16:30,1.061,1.850,3.781,4.701,91.37,27.950
2023-01-01T17:00,1.140,1.930,3.999,4.715,92.37,27.950
2023-01-01T17:30,1.199,2.110,4.021,5.057,88.37,27.950
2023-01-01T18:00,1.303,2.450,4.137,5.313,90.37,27.950
2023-01-01T18:30,1.381,2.070,4.269,5.445,97.37,27.950
